OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2018,BOWDOIN ST,42.30291764,-71.07150861
ROBBERY,2018,CENTRE ST,42.32283759,-71.10096723
ROBBERY,2018,CHAUNCY ST,42.35285118,-71.06096412
ROBBERY,2018,SHAWMUT AVE,42.33248759,-71.08365801
ROBBERY,2018,TALBOT AVE,42.29041538,-71.07269542
ROBBERY,2018,UNION PARK,42.34293121,-71.07135137
ROBBERY,2018,SPRING ST,42.27621405,-71.16651219
ROBBERY,2018,BRENT ST,42.29026471,-71.06599003
ROBBERY,2018,TREMONT ST,42.34051771,-71.07806475
ROBBERY,2018,MASSACHUSETTS AVE,42.33152148,-71.07085307
ROBBERY,2018,SUMMER ST,42.35426247,-71.05883334
ROBBERY,2018,CHAUNCY ST,42.35408145,-71.05977436
ROBBERY,2018,WASHINGTON ST,42.29526287,-71.07207439
ROBBERY,2018,HANOVER ST,42.36339154,-71.05488123
ROBBERY,2018,COLUMBIA RD,42.31705299,-71.06521384
ROBBERY,2018,DORCHESTER AVE,42.28990371,-71.06314642
ROBBERY,2018,RIVER ST,42.26090426,-71.11456834
ROBBERY,2018,ADAMS ST,42.2944367,-71.05661774
ROBBERY,2018,HUNTINGTON AVE,42.33186291,-71.1123942
ROBBERY,2018,WASHINGTON ST,42.31408519,-71.09998685
ROBBERY,2018,SOUTHAMPTON ST,42.32962107,-71.05763827
ROBBERY,2018,WASHINGTON ST,42.29417346,-71.07193797
ROBBERY,2018,QUINCY ST,42.31252546,-71.07389321
ROBBERY,2018,GEORGE ST,42.26387176,-71.10792081
ROBBERY,2018,THOMPSON SQ,42.3751514,-71.0639642
ROBBERY,2018,ANNUNCIATION RD,42.33506218,-71.09316781
ROBBERY,2018,W CONCORD ST,42.33961962,-71.07699237
ROBBERY,2018,UNION ST,42.36068787,-71.05687293
ROBBERY,2018,SPRING ST,42.27820867,-71.16030323
ROBBERY,2018,BLUE HILL AVE,42.31709355,-71.07802977
ROBBERY,2018,ADAMS ST,42.30313982,-71.06057855
ROBBERY,2018,NEWBURY ST,42.34840576,-71.08688339
ROBBERY,2018,BOYLSTON ST,42.35067063,-71.07520557
ROBBERY,2018,WASHINGTON ST,42.34499963,-71.14507819
ROBBERY,2018,WASHINGTON ST,42.31667114,-71.09743705
ROBBERY,2018,BOWDOIN ST,42.31016764,-71.0629118
ROBBERY,2018,HEATH ST,42.32624204,-71.10317575
ROBBERY,2018,MERIDIAN ST,42.38289141,-71.03930932
ROBBERY,2018,BOWDOIN ST,42.3036967,-71.07104897
ROBBERY,2018,COLUMBIA RD,42.31514179,-71.06704709
ROBBERY,2018,DORCHESTER AVE,42.2908347,-71.06288798
ROBBERY,2018,BORDER ST,42.37712014,-71.03988283
ROBBERY,2018,HORAN WAY,42.32547536,-71.10253482
ROBBERY,2018,BICKFORD ST,42.32483301,-71.10164757
ROBBERY,2018,CHELSEA ST,42.37977166,-71.02730041
ROBBERY,2018,FOREST HILLS ST,42.300945,-71.106067
ROBBERY,2018,LEVANT ST,42.3032249,-71.07039247
ROBBERY,2018,BOWDOIN ST,42.3078312,-71.06529544
ROBBERY,2018,CHELSEA ST,42.37757302,-71.02985538
ROBBERY,2018,WARREN ST,42.32902469,-71.08341505
ROBBERY,2018,HAVRE ST,42.37142499,-71.03971329
ROBBERY,2018,E CONCORD ST,42.33681394,-71.07362287
ROBBERY,2018,TREMONT ST,42.35540738,-71.06312433
ROBBERY,2018,WINTER ST,42.35602373,-71.06177615
ROBBERY,2018,WASHINGTON ST,42.2681306,-71.14965367
ROBBERY,2018,ROBINSON ST,42.30277884,-71.06210293
ROBBERY,2018,BANTRY WAY,42.33194724,-71.03177171
ROBBERY,2018,ADAMS ST,42.27616192,-71.06113062
ROBBERY,2018,HYDE PARK AVE,42.29182835,-71.11780085
ROBBERY,2018,TALBOT AVE,42.2871482,-71.06493039
ROBBERY,2018,RIDGEWOOD ST,42.30159845,-71.06766776
ROBBERY,2018,LEGENDS WAY,42.36643546,-71.06135413
ROBBERY,2018,BOYLSTON ST,42.352366,-71.06833609
ROBBERY,2018,E COTTAGE ST,42.32004176,-71.06104118
ROBBERY,2018,WASHINGTON ST,42.35213476,-71.06266757
ROBBERY,2018,DUDLEY ST,42.32872589,-71.08382217
ROBBERY,2018,EDWIN ST,42.28976649,-71.05919044
ROBBERY,2018,MCLELLAN ST,42.29920296,-71.08329976
ROBBERY,2018,MASSACHUSETTS AVE,42.34186952,-71.0837219
ROBBERY,2018,FANEUIL ST,42.35555336,-71.15274721
ROBBERY,2018,CAUSEWAY ST,42.36571448,-71.06061587
ROBBERY,2018,BARTLETT ST,42.32891063,-71.08949343
ROBBERY,2018,GREENBRIER ST,42.29697608,-71.07053347
ROBBERY,2018,ADAMS ST,42.30263978,-71.06038376
ROBBERY,2018,BOYLSTON ST,42.34815229,-71.08450821
ROBBERY,2018,TREMONT ST,42.33945339,-71.07992484
ROBBERY,2018,JUDSON ST,42.31950193,-71.07516473
ROBBERY,2018,HEATH ST,42.32665471,-71.10679596
ROBBERY,2018,JAMAICAWAY,42.31634343,-71.11677508
ROBBERY,2018,WASHINGTON ST,42.33721215,-71.07597603
ROBBERY,2018,SHERWOOD ST,42.28614825,-71.12091132
ROBBERY,2018,SUMMER ST,42.35521625,-71.06012863
ROBBERY,2018,SUMMER ST,42.35521625,-71.06012863
ROBBERY,2018,ALMONT ST,42.27632695,-71.09726257
ROBBERY,2018,SOUTHAMPTON ST,42.33210843,-71.07014395
ROBBERY,2018,BARTLETT ST,42.37870192,-71.06486887
ROBBERY,2018,HENDRY ST,42.30945933,-71.06514623
ROBBERY,2018,WALDEN ST,42.32561013,-71.10449956
ROBBERY,2018,BRIGHTON AVE,42.35266601,-71.12974348
ROBBERY,2018,BRIGHTON AVE,42.35315862,-71.13289373
