"distance","Legend","MUNI","Area","counter","distInt","Building_Density"
-4620,"Inside the UGA","EAST LAMPETER TOWNSHIP",12867576.8458014,218,"(-4631,-4600]",1.69418067296121e-05
-5280,"Inside the UGA","EAST LAMPETER TOWNSHIP",11043547.3172643,197,"(-5282,-5251]",1.78384711307418e-05
-5940,"Inside the UGA","EAST LAMPETER TOWNSHIP",8437673.34080327,175,"(-5964,-5933]",2.0740314649742e-05
-6600,"Inside the UGA","EAST LAMPETER TOWNSHIP",5744232.41578499,85,"(-6615,-6584]",1.47974513994981e-05
-7260,"Inside the UGA","EAST LAMPETER TOWNSHIP",2803722.46544279,65,"(-7266,-7235]",2.31834644124573e-05
-7920,"Inside the UGA","EAST LAMPETER TOWNSHIP",3092838.98366284,15,"(-7948,-7917]",4.84991300201329e-06
-8580,"Inside the UGA","EAST LAMPETER TOWNSHIP",2030509.53470845,2,"(-8599,-8568]",9.84974444006818e-07
-9240,"Inside the UGA","EAST LAMPETER TOWNSHIP",1357118.35676754,2,"(-9250,-9219]",1.47371081529228e-06
-9900,"Inside the UGA","EAST LAMPETER TOWNSHIP",304936.616008677,0,"(-9901,-9870]",0
660,"Outside the UGA","EAST LAMPETER TOWNSHIP",88017677.9781126,441,"(639,670]",5.01035712518642e-06
1320,"Outside the UGA","EAST LAMPETER TOWNSHIP",54906226.0778214,171,"(1290,1321]",3.11440090159599e-06
1320,"Outside the UGA","EAST LAMPETER TOWNSHIP",11038914.506368,51,"(1290,1321]",4.62001947479345e-06
1980,"Outside the UGA","EAST LAMPETER TOWNSHIP",42920133.8110942,166,"(1972,2003]",3.86764870609726e-06
1980,"Outside the UGA","EAST LAMPETER TOWNSHIP",1233526.71883879,8,"(1972,2003]",6.48546957096398e-06
2640,"Outside the UGA","EAST LAMPETER TOWNSHIP",33762230.6698176,128,"(2623,2654]",3.79121869202878e-06
3300,"Outside the UGA","EAST LAMPETER TOWNSHIP",25276305.0189117,126,"(3274,3305]",4.98490582012391e-06
3960,"Outside the UGA","EAST LAMPETER TOWNSHIP",19780327.2771874,100,"(3956,3987]",5.05552808093977e-06
4620,"Outside the UGA","EAST LAMPETER TOWNSHIP",16889878.4244543,66,"(4607,4638]",3.90766578310243e-06
5280,"Outside the UGA","EAST LAMPETER TOWNSHIP",13394241.4495516,57,"(5258,5289]",4.25556013863765e-06
5940,"Outside the UGA","EAST LAMPETER TOWNSHIP",9184127.84866463,32,"(5909,5940]",3.48427205362268e-06
6600,"Outside the UGA","EAST LAMPETER TOWNSHIP",4586023.60284638,3,"(6591,6622]",6.54161482757744e-07
6600,"Outside the UGA","EAST LAMPETER TOWNSHIP",151200.952115066,0,"(6591,6622]",0
7260,"Outside the UGA","EAST LAMPETER TOWNSHIP",2743394.02363661,0,"(7242,7273]",0
7920,"Outside the UGA","EAST LAMPETER TOWNSHIP",1022224.61123165,0,"(7893,7924]",0
-660,"Inside the UGA","COLUMBIA BOROUGH",18955236.174602,189,"(-663,-632]",9.9708596748185e-06
-1320,"Inside the UGA","COLUMBIA BOROUGH",14002110.9137696,357,"(-1345,-1314]",2.54961557009898e-05
-1980,"Inside the UGA","COLUMBIA BOROUGH",13698819.3369499,526,"(-1996,-1965]",3.83974696696098e-05
-2640,"Inside the UGA","COLUMBIA BOROUGH",10662606.1055497,472,"(-2647,-2616]",4.42668513989588e-05
-3300,"Inside the UGA","COLUMBIA BOROUGH",7100403.13647549,334,"(-3329,-3298]",4.70395826237257e-05
-3960,"Inside the UGA","COLUMBIA BOROUGH",2651352.51616649,151,"(-3980,-3949]",5.69520646836982e-05
660,"Outside the UGA","COLUMBIA BOROUGH",18047.167493537,0,"(639,670]",0
-660,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",81366493.7451918,1614,"(-663,-632]",1.98361748885778e-05
-660,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",148.31198676303,0,"(-663,-632]",0
-660,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",103.538627356291,0,"(-663,-632]",0
-1320,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",32184567.1064435,671,"(-1345,-1314]",2.08485016368501e-05
-1320,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",73764.4678298059,0,"(-1345,-1314]",0
-1320,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",354165.242603502,12,"(-1345,-1314]",3.38824891787429e-05
-1320,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",10516067.6154086,323,"(-1345,-1314]",3.07149033091729e-05
-1320,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",2731.82409523637,0,"(-1345,-1314]",0
-1980,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",3061661.97116337,90,"(-1996,-1965]",2.93957990293101e-05
-1980,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",178208.577353157,5,"(-1996,-1965]",2.80570109153134e-05
-1980,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",14905737.0543557,355,"(-1996,-1965]",2.38163331813412e-05
-1980,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",2748503.4559547,87,"(-1996,-1965]",3.1653589451202e-05
-2640,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",548401.916508886,2,"(-2647,-2616]",3.64696026726521e-06
-2640,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",12484861.4146859,260,"(-2647,-2616]",2.08252211509662e-05
-3300,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",83071.9248521496,0,"(-3329,-3298]",0
-3300,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",10744390.2893175,226,"(-3329,-3298]",2.10342321820437e-05
-3960,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",8651305.71932742,160,"(-3980,-3949]",1.84943181053644e-05
-4620,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",5861270.69131238,141,"(-4631,-4600]",2.40562170604049e-05
-5280,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",3448054.60030395,49,"(-5282,-5251]",1.42109118561175e-05
-5940,"Inside the UGA","WEST HEMPFIELD TOWNSHIP",295238.823246181,1,"(-5964,-5933]",3.3870884221963e-06
660,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",80222801.4243891,274,"(639,670]",3.41548780564897e-06
660,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",15145099.8846585,48,"(639,670]",3.16934192349716e-06
660,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",5921456.7461885,12,"(639,670]",2.02652835515924e-06
1320,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",64337803.8925137,184,"(1290,1321]",2.8599048905586e-06
1320,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",7289132.4332754,11,"(1290,1321]",1.50909591788787e-06
1320,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",192184.838088188,0,"(1290,1321]",0
1980,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",52961889.0950922,183,"(1972,2003]",3.45531481460993e-06
1980,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",1469847.30439296,4,"(1972,2003]",2.72137111660858e-06
2640,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",39043478.9320004,93,"(2623,2654]",2.38195986996887e-06
2640,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",4190824.90032316,19,"(2623,2654]",4.53371363679138e-06
3300,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",34337782.7712477,68,"(3274,3305]",1.98032588338636e-06
3300,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",352520.32555218,1,"(3274,3305]",2.83671586435086e-06
3960,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",30831930.1272636,34,"(3956,3987]",1.10275288830961e-06
4620,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",27445279.4391311,44,"(4607,4638]",1.60319008948641e-06
5280,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",17411584.328226,18,"(5258,5289]",1.03379449340633e-06
5940,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",10842221.4183067,29,"(5909,5940]",2.67472862627899e-06
6600,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",5504487.69144422,11,"(6591,6622]",1.99836944264543e-06
7260,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",1269976.22129021,4,"(7242,7273]",3.14966527163499e-06
7920,"Outside the UGA","WEST HEMPFIELD TOWNSHIP",4815.65415056795,0,"(7893,7924]",0
