"distance","Legend","MUNI","Area","counter","distInt","Building_Density"
-13200,"Inside the UGA","CITY OF LANCASTER",5434715.86649013,26,"(-1.322e+04,-1.319e+04]",4.78405875094835e-06
-13860,"Inside the UGA","CITY OF LANCASTER",4273765.74779068,13,"(-1.387e+04,-1.384e+04]",3.04181388666899e-06
-14520,"Inside the UGA","CITY OF LANCASTER",2022517.09815426,8,"(-1.456e+04,-1.449e+04]",3.95546717864623e-06
660,"Outside the UGA","CITY OF LANCASTER",3103.55008355607,0,"(639,670]",0
-660,"Inside the UGA","WEST LAMPETER TOWNSHIP",44887679.1120524,855,"(-663,-632]",1.90475430432854e-05
-1320,"Inside the UGA","WEST LAMPETER TOWNSHIP",39435326.8478658,760,"(-1345,-1314]",1.92720603770305e-05
-1980,"Inside the UGA","WEST LAMPETER TOWNSHIP",12417734.0443493,291,"(-1996,-1965]",2.34342271271642e-05
-1980,"Inside the UGA","WEST LAMPETER TOWNSHIP",13488515.9175377,323,"(-1996,-1965]",2.39462963883252e-05
-2640,"Inside the UGA","WEST LAMPETER TOWNSHIP",8739496.64221606,132,"(-2647,-2616]",1.51038446953999e-05
-2640,"Inside the UGA","WEST LAMPETER TOWNSHIP",354758.554232299,1,"(-2647,-2616]",2.81881856848811e-06
-2640,"Inside the UGA","WEST LAMPETER TOWNSHIP",3218113.14918791,141,"(-2647,-2616]",4.38144942279551e-05
-3300,"Inside the UGA","WEST LAMPETER TOWNSHIP",6637531.61554265,97,"(-3329,-3298]",1.46138663615344e-05
-3300,"Inside the UGA","WEST LAMPETER TOWNSHIP",9560.01046770811,0,"(-3329,-3298]",0
-3960,"Inside the UGA","WEST LAMPETER TOWNSHIP",3739736.58020528,111,"(-3980,-3949]",2.96812349264201e-05
-4620,"Inside the UGA","WEST LAMPETER TOWNSHIP",1185936.32245113,44,"(-4631,-4600]",3.71014861144142e-05
-5280,"Inside the UGA","WEST LAMPETER TOWNSHIP",762505.869394228,16,"(-5282,-5251]",2.09834450359198e-05
-5940,"Inside the UGA","WEST LAMPETER TOWNSHIP",27532.1913523078,0,"(-5964,-5933]",0
660,"Outside the UGA","WEST LAMPETER TOWNSHIP",54639304.3860862,111,"(639,670]",2.03150463292256e-06
660,"Outside the UGA","WEST LAMPETER TOWNSHIP",1422361.50400778,8,"(639,670]",5.62444918359956e-06
1320,"Outside the UGA","WEST LAMPETER TOWNSHIP",35586373.6778112,104,"(1290,1321]",2.92246692347993e-06
1320,"Outside the UGA","WEST LAMPETER TOWNSHIP",4693553.55634572,10,"(1290,1321]",2.13058184591926e-06
1320,"Outside the UGA","WEST LAMPETER TOWNSHIP",54178.281778723,0,"(1290,1321]",0
1320,"Outside the UGA","WEST LAMPETER TOWNSHIP",5550.57820346113,0,"(1290,1321]",0
1320,"Outside the UGA","WEST LAMPETER TOWNSHIP",84956.8459531069,0,"(1290,1321]",0
1980,"Outside the UGA","WEST LAMPETER TOWNSHIP",33172855.5952753,100,"(1972,2003]",3.01451286618336e-06
1980,"Outside the UGA","WEST LAMPETER TOWNSHIP",378642.002961695,0,"(1972,2003]",0
2640,"Outside the UGA","WEST LAMPETER TOWNSHIP",29617069.1662741,86,"(2623,2654]",2.90373093695345e-06
3300,"Outside the UGA","WEST LAMPETER TOWNSHIP",26933740.2896468,107,"(3274,3305]",3.97271225048273e-06
3960,"Outside the UGA","WEST LAMPETER TOWNSHIP",22335775.7918767,122,"(3956,3987]",5.46208921224802e-06
4620,"Outside the UGA","WEST LAMPETER TOWNSHIP",16735707.2540524,93,"(4607,4638]",5.55698056785027e-06
5280,"Outside the UGA","WEST LAMPETER TOWNSHIP",16076292.4408178,69,"(5258,5289]",4.29203438877539e-06
5940,"Outside the UGA","WEST LAMPETER TOWNSHIP",15350515.2118646,99,"(5909,5940]",6.44929493464047e-06
6600,"Outside the UGA","WEST LAMPETER TOWNSHIP",13902521.2625213,70,"(6591,6622]",5.03505793504574e-06
7260,"Outside the UGA","WEST LAMPETER TOWNSHIP",14032071.0574017,96,"(7242,7273]",6.84147048623742e-06
7920,"Outside the UGA","WEST LAMPETER TOWNSHIP",13457526.8093927,79,"(7893,7924]",5.87032083375543e-06
8580,"Outside the UGA","WEST LAMPETER TOWNSHIP",11422822.401667,40,"(8575,8606]",3.50176152560705e-06
9240,"Outside the UGA","WEST LAMPETER TOWNSHIP",8268679.75399067,6,"(9226,9257]",7.25629747252486e-07
9900,"Outside the UGA","WEST LAMPETER TOWNSHIP",5450727.46458559,19,"(9877,9908]",3.48577325200106e-06
10560,"Outside the UGA","WEST LAMPETER TOWNSHIP",2979766.67723611,2,"(1.056e+04,1.059e+04]",6.71193491516962e-07
11220,"Outside the UGA","WEST LAMPETER TOWNSHIP",1764471.10890952,0,"(1.121e+04,1.124e+04]",0
11880,"Outside the UGA","WEST LAMPETER TOWNSHIP",253273.929263636,0,"(1.186e+04,1.189e+04]",0
-660,"Inside the UGA","MANOR TOWNSHIP",37576412.7023703,355,"(-663,-632]",9.44741593115424e-06
-1320,"Inside the UGA","MANOR TOWNSHIP",29371431.733092,291,"(-1345,-1314]",9.90758648214409e-06
-1980,"Inside the UGA","MANOR TOWNSHIP",24897553.4058614,235,"(-1996,-1965]",9.43867841828492e-06
-2640,"Inside the UGA","MANOR TOWNSHIP",19762510.2591722,250,"(-2647,-2616]",1.26502148118541e-05
-3300,"Inside the UGA","MANOR TOWNSHIP",16763381.8354059,250,"(-3329,-3298]",1.49134585404465e-05
-3960,"Inside the UGA","MANOR TOWNSHIP",13986314.0148474,234,"(-3980,-3949]",1.67306410932569e-05
-4620,"Inside the UGA","MANOR TOWNSHIP",12498785.7601453,160,"(-4631,-4600]",1.2801243502404e-05
-5280,"Inside the UGA","MANOR TOWNSHIP",8916638.02395045,108,"(-5282,-5251]",1.21121884402964e-05
-5940,"Inside the UGA","MANOR TOWNSHIP",7689798.06175929,98,"(-5964,-5933]",1.27441578066069e-05
-6600,"Inside the UGA","MANOR TOWNSHIP",7732485.19795137,213,"(-6615,-6584]",2.75461245055383e-05
