INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182030168,00311,Robbery,ROBBERY - COMMERCIAL,C11,363,,2018-04-22 19:24:00,2018,4,Sunday,19,Part One,DORCHESTER AVE,42.2938387,-71.06202501,"(42.29383870, -71.06202501)"
I182030073,00301,Robbery,ROBBERY - STREET,A1, ,,2018-04-22 11:30:00,2018,4,Sunday,11,Part One,CONGRESS ST,,,"(0.00000000, 0.00000000)"
I182030013,00301,Robbery,ROBBERY - STREET,B2,317,,2018-04-22 04:50:00,2018,4,Sunday,4,Part One,HOMESTEAD ST,42.31014403,-71.08759179,"(42.31014403, -71.08759179)"
I182029896,00361,Robbery,ROBBERY - OTHER,C6,175,,2018-04-21 15:55:00,2018,4,Saturday,15,Part One,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)"
I182029806,00361,Robbery,ROBBERY - OTHER,C11,367,,2018-04-21 11:05:00,2018,4,Saturday,11,Part One,VICTORY RD,42.29578949,-71.05581808,"(42.29578949, -71.05581808)"
I182029769,00301,Robbery,ROBBERY - STREET,A1,117,,2018-04-21 02:30:00,2018,4,Saturday,2,Part One,WASHINGTON ST,42.35213476,-71.06266757,"(42.35213476, -71.06266757)"
I182029715,00381,Robbery,ROBBERY - CAR JACKING,B3, ,,2018-04-20 23:00:00,2018,4,Friday,23,Part One,CENTRAL AVE,,,"(0.00000000, 0.00000000)"
I182029362,00301,Robbery,ROBBERY - STREET,D4,618,,2018-04-19 20:15:00,2018,4,Thursday,20,Part One,HUNTINGTON AVE,42.34091586,-71.08771531,"(42.34091586, -71.08771531)"
I182029328,00351,Robbery,ROBBERY - BANK,A1,111,,2018-04-19 17:50:00,2018,4,Thursday,17,Part One,WINTER ST,42.35571985,-71.06110871,"(42.35571985, -71.06110871)"
I182029321,00361,Robbery,ROBBERY - OTHER,B2,309,,2018-04-19 17:14:00,2018,4,Thursday,17,Part One,MARTIN LUTHER KING JR BLV,42.31860134,-71.08405792,"(42.31860134, -71.08405792)"
I182029258,00361,Robbery,ROBBERY - OTHER,B3,468,,2018-04-19 14:23:00,2018,4,Thursday,14,Part One,WELLINGTON HILL ST,42.28039667,-71.09473186,"(42.28039667, -71.09473186)"
I182029155,00301,Robbery,ROBBERY - STREET,E13,567,,2018-04-19 06:30:00,2018,4,Thursday,6,Part One,FOREST HILLS ST,42.30887462,-71.10247235,"(42.30887462, -71.10247235)"
I182029149,00301,Robbery,ROBBERY - STREET,C6,194,,2018-04-19 03:48:00,2018,4,Thursday,3,Part One,DORCHESTER AVE,42.33138444,-71.05697531,"(42.33138444, -71.05697531)"
I182029066,00361,Robbery,ROBBERY - OTHER,A1,111,,2018-04-18 22:05:00,2018,4,Wednesday,22,Part One,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
I182028623,00311,Robbery,ROBBERY - COMMERCIAL,C11,337,,2018-04-17 11:59:00,2018,4,Tuesday,11,Part One,BOWDOIN ST,42.3036967,-71.07104897,"(42.30369670, -71.07104897)"
