INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192078609,00301,Robbery,ROBBERY - STREET,A1,119,,2019-09-29 01:01:00,2019,9,Sunday,1,Part One,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)"
I192078603,00301,Robbery,ROBBERY - STREET,A7,23,,2019-09-29 01:30:00,2019,9,Sunday,1,Part One,BENNINGTON ST,42.37546983,-71.03730221,"(42.37546983, -71.03730221)"
I192078529,00301,Robbery,ROBBERY - STREET,E5,822,,2019-09-27 23:00:00,2019,9,Friday,23,Part One,EDGEMERE RD,42.25867638,-71.15116479,"(42.25867638, -71.15116479)"
I192078417,00311,Robbery,ROBBERY - COMMERCIAL,D4,142,,2019-09-28 12:24:00,2019,9,Saturday,12,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I192078317,00361,Robbery,ROBBERY - OTHER,B3,432,,2019-09-28 02:27:00,2019,9,Saturday,2,Part One,LAURIAT ST,42.28845961,-71.08046188,"(42.28845961, -71.08046188)"
I192078280,00301,Robbery,ROBBERY - STREET,A7,19,,2019-09-27 23:12:00,2019,9,Friday,23,Part One,SARATOGA ST,42.37864819,-71.03089238,"(42.37864819, -71.03089238)"
I192078046,00311,Robbery,ROBBERY - COMMERCIAL,D4,623,,2019-09-27 11:32:00,2019,9,Friday,11,Part One,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)"
I192077604,00301,Robbery,ROBBERY - STREET,E13,912,,2019-09-25 21:06:00,2019,9,Wednesday,21,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I192077602,00301,Robbery,ROBBERY - STREET,D14,769,,2019-09-25 21:14:00,2019,9,Wednesday,21,Part One,LEICESTER ST,42.35291119,-71.1530769,"(42.35291119, -71.15307690)"
I192077492,00301,Robbery,ROBBERY - STREET,C6,914,,2019-09-25 16:56:00,2019,9,Wednesday,16,Part One,DR. MICHAEL GAVIN WAY,42.32614559,-71.05349144,"(42.32614559, -71.05349144)"
I192077245,00301,Robbery,ROBBERY - STREET,D4,273,,2019-09-24 20:45:00,2019,9,Tuesday,20,Part One,NORTHAMPTON ST,42.33690201,-71.07871786,"(42.33690201, -71.07871786)"
I192077188,00311,Robbery,ROBBERY - COMMERCIAL,A1,105,,2019-09-24 18:54:00,2019,9,Tuesday,18,Part One,SUMMER ST,42.35450139,-71.05916774,"(42.35450139, -71.05916774)"
I192077167,00301,Robbery,ROBBERY - STREET,B2,281,,2019-09-24 18:38:00,2019,9,Tuesday,18,Part One,DUDLEY ST,42.32849143,-71.08121253,"(42.32849143, -71.08121253)"
I192076924,00301,Robbery,ROBBERY - STREET,A7,27,,2019-09-24 05:27:00,2019,9,Tuesday,5,Part One,MAVERICK SQ,42.36995418,-71.03900989,"(42.36995418, -71.03900989)"
I192076874,00301,Robbery,ROBBERY - STREET,D14,802,,2019-09-23 20:50:00,2019,9,Monday,20,Part One,BRIGHTON AVE,42.35315862,-71.13289373,"(42.35315862, -71.13289373)"
I192076830,00301,Robbery,ROBBERY - STREET,C11,352,,2019-09-23 19:17:00,2019,9,Monday,19,Part One,ADAMS ST,42.30203902,-71.06009072,"(42.30203902, -71.06009072)"
I192076779,00301,Robbery,ROBBERY - STREET,C11,349,,2019-09-22 23:00:00,2019,9,Sunday,23,Part One,ADAMS ST,42.30263978,-71.06038376,"(42.30263978, -71.06038376)"
I192076564,00301,Robbery,ROBBERY - STREET,D4,131,,2019-09-23 03:20:00,2019,9,Monday,3,Part One,BEACON ST,42.35505244,-71.07390742,"(42.35505244, -71.07390742)"
I192076541,00301,Robbery,ROBBERY - STREET,D4,273,,2019-09-23 00:22:00,2019,9,Monday,0,Part One,WASHINGTON ST,42.3354351,-71.07840204,"(42.33543510, -71.07840204)"
I192076462,00301,Robbery,ROBBERY - STREET,C11,362,,2019-09-22 18:57:00,2019,9,Sunday,18,Part One,WASHINGTON ST,42.29212974,-71.07175746,"(42.29212974, -71.07175746)"
I192076458,00301,Robbery,ROBBERY - STREET,A1,104,,2019-09-22 18:19:00,2019,9,Sunday,18,Part One,FRANKLIN ST,42.35555882,-71.05849336,"(42.35555882, -71.05849336)"
I192076396,00301,Robbery,ROBBERY - STREET,B3, ,,2019-09-22 13:31:00,2019,9,Sunday,13,Part One,HARVARD ST,,,"(0.00000000, 0.00000000)"
I192076291,00371,Robbery,ROBBERY - HOME INVASION,C11,358,,2019-09-22 03:31:00,2019,9,Sunday,3,Part One,TONAWANDA ST,42.2985085,-71.06786956,"(42.29850850, -71.06786956)"
I192076284,00301,Robbery,ROBBERY - STREET,A7,29,,2019-09-22 02:34:00,2019,9,Sunday,2,Part One,CHELSEA ST,42.37172266,-71.03665549,"(42.37172266, -71.03665549)"
I192076255,00301,Robbery,ROBBERY - STREET,E13,577,,2019-09-22 00:30:00,2019,9,Sunday,0,Part One,WASHINGTON ST,42.31408519,-71.09998685,"(42.31408519, -71.09998685)"
I192076207,00301,Robbery,ROBBERY - STREET,B2,290,,2019-09-21 18:13:00,2019,9,Saturday,18,Part One,TREMONT ST,42.33234913,-71.09324099,"(42.33234913, -71.09324099)"
I192076157,00301,Robbery,ROBBERY - STREET,A1,111,,2019-09-21 16:45:00,2019,9,Saturday,16,Part One,TREMONT ST,42.35428377,-71.06380404,"(42.35428377, -71.06380404)"
I192076144,00301,Robbery,ROBBERY - STREET,E13,579,,2019-09-21 15:50:00,2019,9,Saturday,15,Part One,CENTRE ST,42.32287413,-71.10155354,"(42.32287413, -71.10155354)"
I192076140,00301,Robbery,ROBBERY - STREET,A1,116,,2019-09-21 15:08:00,2019,9,Saturday,15,Part One,HARRISON AVE,42.35171679,-71.06118419,"(42.35171679, -71.06118419)"
I192076059,00301,Robbery,ROBBERY - STREET,D4,271,,2019-09-21 11:07:00,2019,9,Saturday,11,Part One,REED ST,42.33472388,-71.07660307,"(42.33472388, -71.07660307)"
I192075472,00301,Robbery,ROBBERY - STREET,B3,464,,2019-09-19 15:18:00,2019,9,Thursday,15,Part One,DONALD RD,42.29096807,-71.09010919,"(42.29096807, -71.09010919)"
I192075249,00301,Robbery,ROBBERY - STREET,C11,347,,2019-09-18 21:25:00,2019,9,Wednesday,21,Part One,LEEDSVILLE ST,42.30492795,-71.05979933,"(42.30492795, -71.05979933)"
I192075213,00311,Robbery,ROBBERY - COMMERCIAL,B3,427,,2019-09-18 18:38:00,2019,9,Wednesday,18,Part One,BLUE HILL AVE,42.27968299,-71.09286048,"(42.27968299, -71.09286048)"
I192075209,00311,Robbery,ROBBERY - COMMERCIAL,A1,111,,2019-09-18 17:49:00,2019,9,Wednesday,17,Part One,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192074985,00301,Robbery,ROBBERY - STREET,C11,817,,2019-09-17 22:00:00,2019,9,Tuesday,22,Part One,DORCHESTER AVE,42.28965221,-71.06321734,"(42.28965221, -71.06321734)"
I192074879,00301,Robbery,ROBBERY - STREET,C6,177,,2019-09-17 19:45:00,2019,9,Tuesday,19,Part One,MASSACHUSETTS AVE,42.32701527,-71.0670491,"(42.32701527, -71.06704910)"
I192074616,00301,Robbery,ROBBERY - STREET,E13,577,,2019-09-17 00:28:00,2019,9,Tuesday,0,Part One,DALRYMPLE ST,42.31568781,-71.10216073,"(42.31568781, -71.10216073)"
I192074566,00311,Robbery,ROBBERY - COMMERCIAL,B3,426,,2019-09-16 20:42:00,2019,9,Monday,20,Part One,RIVER ST,42.268024,-71.09301057,"(42.26802400, -71.09301057)"
I192074482,00301,Robbery,ROBBERY - STREET,D4,285,,2019-09-16 16:38:00,2019,9,Monday,16,Part One,HAMMOND ST,42.33651082,-71.08339215,"(42.33651082, -71.08339215)"
I192074413,00301,Robbery,ROBBERY - STREET,D4, ,,2019-09-16 13:19:00,2019,9,Monday,13,Part One,HARRISON AVE,,,"(0.00000000, 0.00000000)"
I192074314,00301,Robbery,ROBBERY - STREET,D4,627,,2019-09-16 01:35:00,2019,9,Monday,1,Part One,BROOKLINE AVE,42.34410718,-71.1018026,"(42.34410718, -71.10180260)"
I192074246,00301,Robbery,ROBBERY - STREET,C11,355,,2019-09-15 20:34:00,2019,9,Sunday,20,Part One,DORCHESTER AVE,42.29557185,-71.06152074,"(42.29557185, -71.06152074)"
I192074244,00301,Robbery,ROBBERY - STREET,B2,279,,2019-09-15 20:37:00,2019,9,Sunday,20,Part One,DUDLEY ST,42.328597,-71.08274741,"(42.32859700, -71.08274741)"
I192074243,00361,Robbery,ROBBERY - OTHER,D4,172,,2019-09-15 19:45:00,2019,9,Sunday,19,Part One,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
I192074221,00361,Robbery,ROBBERY - OTHER,C6,174,,2019-09-15 18:07:00,2019,9,Sunday,18,Part One,DORCHESTER AVE,42.32971683,-71.05696834,"(42.32971683, -71.05696834)"
I192074197,00311,Robbery,ROBBERY - COMMERCIAL,D4,164,,2019-09-15 17:31:00,2019,9,Sunday,17,Part One,WASHINGTON ST,42.34334672,-71.06643142,"(42.34334672, -71.06643142)"
I192074068,00301,Robbery,ROBBERY - STREET,C6,181,,2019-09-15 03:59:00,2019,9,Sunday,3,Part One,MASSACHUSETTS AVE,42.32734083,-71.06732427,"(42.32734083, -71.06732427)"
I192074049,00301,Robbery,ROBBERY - STREET,C11,332,,2019-09-15 01:05:00,2019,9,Sunday,1,Part One,COLUMBIA RD,42.3119196,-71.06913007,"(42.31191960, -71.06913007)"
I192074002,00311,Robbery,ROBBERY - COMMERCIAL,B3,469,,2019-09-14 21:06:00,2019,9,Saturday,21,Part One,WALK HILL ST,42.28082671,-71.09754718,"(42.28082671, -71.09754718)"
I192074002,00311,Robbery,ROBBERY - COMMERCIAL,B3,469,,2019-09-14 21:06:00,2019,9,Saturday,21,Part One,WALK HILL ST,42.28082671,-71.09754718,"(42.28082671, -71.09754718)"
I192073951,00301,Robbery,ROBBERY - STREET,B3,427,,2019-09-14 13:00:00,2019,9,Saturday,13,Part One,NORFOLK ST,42.27818669,-71.09047287,"(42.27818669, -71.09047287)"
I192073939,00301,Robbery,ROBBERY - STREET,A1,92,,2019-09-14 17:20:00,2019,9,Saturday,17,Part One,COURT ST,42.35892279,-71.05835354,"(42.35892279, -71.05835354)"
I192073817,00361,Robbery,ROBBERY - OTHER,E13,572,,2019-09-14 06:48:00,2019,9,Saturday,6,Part One,SCHOOL ST,42.31284459,-71.09676806,"(42.31284459, -71.09676806)"
I192073783,00301,Robbery,ROBBERY - STREET,C11,361,,2019-09-14 02:27:00,2019,9,Saturday,2,Part One,DORCHESTER AVE,42.29557185,-71.06152074,"(42.29557185, -71.06152074)"
I192073779,00301,Robbery,ROBBERY - STREET,E13,574,,2019-09-14 01:17:00,2019,9,Saturday,1,Part One,GREEN ST,42.30960752,-71.10499196,"(42.30960752, -71.10499196)"
I192073671,00301,Robbery,ROBBERY - STREET,B3, ,,2019-09-13 18:34:00,2019,9,Friday,18,Part One,HARVARD ST,,,"(0.00000000, 0.00000000)"
I192073639,00301,Robbery,ROBBERY - STREET,E5,941,,2019-09-13 17:31:00,2019,9,Friday,17,Part One,WASHINGTON ST,42.29299523,-71.12115364,"(42.29299523, -71.12115364)"
I192073452,00301,Robbery,ROBBERY - STREET,C6,175,,2019-09-13 07:43:00,2019,9,Friday,7,Part One,ATKINSON ST,42.33189752,-71.06908191,"(42.33189752, -71.06908191)"
I192073414,00301,Robbery,ROBBERY - STREET,A1, ,,2019-09-13 01:00:00,2019,9,Friday,1,Part One,TREMONT ST,,,"(0.00000000, 0.00000000)"
I192073235,00311,Robbery,ROBBERY - COMMERCIAL,B2,239,,2019-09-12 14:10:00,2019,9,Thursday,14,Part One,DUDLEY ST,42.31735472,-71.0658297,"(42.31735472, -71.06582970)"
I192072071,00301,Robbery,ROBBERY - STREET,E13,581,,2019-09-09 00:20:00,2019,9,Monday,0,Part One,CENTRE ST,42.32284485,-71.10384777,"(42.32284485, -71.10384777)"
I192072787,00361,Robbery,ROBBERY - OTHER,E13,607,,2019-09-11 08:35:00,2019,9,Wednesday,8,Part One,GROTTO GLEN RD,42.32563183,-71.10845359,"(42.32563183, -71.10845359)"
I192072701,00301,Robbery,ROBBERY - STREET,B2,291,,2019-09-10 20:50:00,2019,9,Tuesday,20,Part One,COLUMBUS AVE,42.32987323,-71.09590774,"(42.32987323, -71.09590774)"
I192072697,00311,Robbery,ROBBERY - COMMERCIAL,E5,681,,2019-09-10 20:30:00,2019,9,Tuesday,20,Part One,WASHINGTON ST,42.28112225,-71.1338382,"(42.28112225, -71.13383820)"
I192072665,00301,Robbery,ROBBERY - STREET,C6,199,,2019-09-10 19:10:00,2019,9,Tuesday,19,Part One,A ST,42.34111504,-71.05632465,"(42.34111504, -71.05632465)"
I192072612,00301,Robbery,ROBBERY - STREET,B2,263,,2019-09-09 23:30:00,2019,9,Monday,23,Part One,DUDLEY ST,42.32488222,-71.07475862,"(42.32488222, -71.07475862)"
I192072521,00311,Robbery,ROBBERY - COMMERCIAL,D4,143,,2019-09-10 11:47:00,2019,9,Tuesday,11,Part One,HUNTINGTON AVE,42.34613087,-71.08094439,"(42.34613087, -71.08094439)"
I192072418,00301,Robbery,ROBBERY - STREET,C6,214,,2019-09-10 00:00:00,2019,9,Tuesday,0,Part One,W BROADWAY,42.336112,-71.04665434,"(42.33611200, -71.04665434)"
I192072300,00361,Robbery,ROBBERY - OTHER,C6,236,,2019-09-09 16:30:00,2019,9,Monday,16,Part One,BOSTON ST,42.32077172,-71.0612999,"(42.32077172, -71.06129990)"
I192072186,00301,Robbery,ROBBERY - STREET,A1,119,,2019-09-09 12:54:00,2019,9,Monday,12,Part One,PARK ST,42.35650174,-71.0619996,"(42.35650174, -71.06199960)"
I192072010,00301,Robbery,ROBBERY - STREET,D4,172,,2019-09-08 14:00:00,2019,9,Sunday,14,Part One,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
I192071941,00301,Robbery,ROBBERY - STREET,E18,525,,2019-09-08 14:25:00,2019,9,Sunday,14,Part One,TRUMAN PKWY,42.24124926,-71.12629908,"(42.24124926, -71.12629908)"
I192071920,00301,Robbery,ROBBERY - STREET,C6,194,,2019-09-08 12:59:00,2019,9,Sunday,12,Part One,DORCHESTER AVE,42.33014012,-71.05695787,"(42.33014012, -71.05695787)"
I192071826,00301,Robbery,ROBBERY - STREET,B3,456,,2019-09-08 02:44:00,2019,9,Sunday,2,Part One,ERIE ST,42.30113988,-71.08332549,"(42.30113988, -71.08332549)"
I192071788,00301,Robbery,ROBBERY - STREET,B2,911,,2019-09-07 22:51:00,2019,9,Saturday,22,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I192071738,00301,Robbery,ROBBERY - STREET,A1,84,,2019-09-07 18:50:00,2019,9,Saturday,18,Part One,N BENNET ST,42.36524662,-71.05416027,"(42.36524662, -71.05416027)"
I192071602,00311,Robbery,ROBBERY - COMMERCIAL,C11,462,,2019-09-07 12:07:00,2019,9,Saturday,12,Part One,GENEVA AVE,42.30371229,-71.07180723,"(42.30371229, -71.07180723)"
I192071534,00301,Robbery,ROBBERY - STREET,D4,270,,2019-09-07 08:08:00,2019,9,Saturday,8,Part One,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I192071195,00301,Robbery,ROBBERY - STREET,A1,94,,2019-09-06 02:20:00,2019,9,Friday,2,Part One,STATE ST,42.359287,-71.05379102,"(42.35928700, -71.05379102)"
I192071182,00301,Robbery,ROBBERY - STREET,A1,94,,2019-09-06 00:56:00,2019,9,Friday,0,Part One,CHATHAM ROW,42.35926487,-71.05429349,"(42.35926487, -71.05429349)"
I192071028,00301,Robbery,ROBBERY - STREET,B2,268,,2019-09-05 16:46:00,2019,9,Thursday,16,Part One,ADAMS ST,42.3282868,-71.07682397,"(42.32828680, -71.07682397)"
I192070798,00301,Robbery,ROBBERY - STREET,D4,270,,2019-09-04 22:42:00,2019,9,Wednesday,22,Part One,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I192070742,00301,Robbery,ROBBERY - STREET,E18,542,,2019-09-04 19:33:00,2019,9,Wednesday,19,Part One,BUSINESS ST,42.2519746,-71.128736,"(42.25197460, -71.12873600)"
I192070664,00301,Robbery,ROBBERY - STREET,C6,186,,2019-09-04 15:49:00,2019,9,Wednesday,15,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I192070657,00301,Robbery,ROBBERY - STREET,B3,469,,2019-09-04 16:01:00,2019,9,Wednesday,16,Part One,HIAWATHA RD,42.27683754,-71.0952644,"(42.27683754, -71.09526440)"
I192070561,00301,Robbery,ROBBERY - STREET,D4,134,,2019-09-04 09:39:00,2019,9,Wednesday,9,Part One,BOYLSTON ST,42.35009599,-71.0773211,"(42.35009599, -71.07732110)"
I192070500,00301,Robbery,ROBBERY - STREET,A1,116,,2019-09-04 07:17:00,2019,9,Wednesday,7,Part One,ESSEX ST,42.35235362,-71.05815283,"(42.35235362, -71.05815283)"
I192070498,00301,Robbery,ROBBERY - STREET,D4, ,,2019-09-04 04:30:00,2019,9,Wednesday,4,Part One,HARRISON AVE,,,"(0.00000000, 0.00000000)"
I192070487,00301,Robbery,ROBBERY - STREET,C6,171,,2019-09-04 03:00:00,2019,9,Wednesday,3,Part One,,,,"(0.00000000, 0.00000000)"
I192070451,00301,Robbery,ROBBERY - STREET,, ,,2019-09-03 23:21:11,2019,9,Tuesday,23,Part One,,42.32492305,-71.09825252,"(42.32492305, -71.09825252)"
I192070449,00301,Robbery,ROBBERY - STREET,C11,249,,2019-09-03 22:53:00,2019,9,Tuesday,22,Part One,SAVIN HILL AVE,42.31145415,-71.05341141,"(42.31145415, -71.05341141)"
I192070422,00301,Robbery,ROBBERY - STREET,D4,903,,2019-08-27 19:00:00,2019,8,Tuesday,19,Part One,DITMUS CT,42.33700248,-71.08227581,"(42.33700248, -71.08227581)"
I192070382,00361,Robbery,ROBBERY - OTHER,C6,206,,2019-09-03 18:22:00,2019,9,Tuesday,18,Part One,NORTHERN AVE,42.35235105,-71.04463592,"(42.35235105, -71.04463592)"
I192070285,00301,Robbery,ROBBERY - STREET,B2,281,,2019-09-03 13:22:00,2019,9,Tuesday,13,Part One,HARRISON AVE,42.328007,-71.082921,"(42.32800700, -71.08292100)"
I192070219,00371,Robbery,ROBBERY - HOME INVASION,E18,940,,2019-09-03 11:10:00,2019,9,Tuesday,11,Part One,GARFIELD AVE,42.24361883,-71.11989255,"(42.24361883, -71.11989255)"
I192069976,00301,Robbery,ROBBERY - STREET,C6,914,,2019-09-02 15:28:21,2019,9,Monday,15,Part One,HENRY STERLING SQ,42.32648547,-71.05487817,"(42.32648547, -71.05487817)"
I192069902,00301,Robbery,ROBBERY - STREET,C11,350,,2019-09-01 11:58:00,2019,9,Sunday,11,Part One,DORCHESTER AVE,42.30175049,-71.059734,"(42.30175049, -71.05973400)"
I192069545,00301,Robbery,ROBBERY - STREET,D4,134,,2019-09-01 06:02:00,2019,9,Sunday,6,Part One,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
I192069541,00381,Robbery,ROBBERY - CAR JACKING,E5,941,,2019-09-01 04:20:00,2019,9,Sunday,4,Part One,ARCHDALE RD,42.2917221,-71.1196546,"(42.29172210, -71.11965460)"
I192069506,00301,Robbery,ROBBERY - STREET,A1,101,,2019-09-01 00:17:00,2019,9,Sunday,0,Part One,STATE ST,42.35925113,-71.05415945,"(42.35925113, -71.05415945)"
I192069468,00301,Robbery,ROBBERY - STREET,A1, ,,2019-08-31 02:30:00,2019,8,Saturday,2,Part One,STUART ST,,,"(0.00000000, 0.00000000)"
I192069286,00301,Robbery,ROBBERY - STREET,E18,496,,2019-08-31 09:51:00,2019,8,Saturday,9,Part One,HYDE PARK AVE,42.26922388,-71.12085347,"(42.26922388, -71.12085347)"
I192069246,00301,Robbery,ROBBERY - STREET,D4,171,,2019-08-31 07:00:00,2019,8,Saturday,7,Part One,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)"
I192069176,00371,Robbery,ROBBERY - HOME INVASION,E18,520,,2019-08-30 23:00:00,2019,8,Friday,23,Part One,HYDE PARK AVE,42.25843909,-71.12348834,"(42.25843909, -71.12348834)"
I192069068,00301,Robbery,ROBBERY - STREET,E18, ,,2019-08-30 17:56:00,2019,8,Friday,17,Part One,CUMMINS HWY,,,"(0.00000000, 0.00000000)"
I192068987,00301,Robbery,ROBBERY - STREET,A1,97,,2019-08-30 14:15:00,2019,8,Friday,14,Part One,SCHOOL ST,42.35800156,-71.06044213,"(42.35800156, -71.06044213)"
I192068871,00301,Robbery,ROBBERY - STREET,C11,345,,2019-08-30 05:00:00,2019,8,Friday,5,Part One,DITSON ST,42.30177509,-71.06430565,"(42.30177509, -71.06430565)"
I192068764,00301,Robbery,ROBBERY - STREET,C11,377,,2019-08-29 20:34:00,2019,8,Thursday,20,Part One,BOUTWELL ST,42.2908654,-71.05312326,"(42.29086540, -71.05312326)"
I192068584,00301,Robbery,ROBBERY - STREET,D4,272,,2019-08-28 04:30:00,2019,8,Wednesday,4,Part One,WASHINGTON ST,42.33438722,-71.07958852,"(42.33438722, -71.07958852)"
I192068537,00311,Robbery,ROBBERY - COMMERCIAL,E18,520,,2019-08-29 09:09:00,2019,8,Thursday,9,Part One,RIVER ST,42.25572957,-71.12484898,"(42.25572957, -71.12484898)"
I192068502,00301,Robbery,ROBBERY - STREET,E13,582,,2019-08-29 02:45:00,2019,8,Thursday,2,Part One,CENTRE ST,42.32227033,-71.10889634,"(42.32227033, -71.10889634)"
I192068489,00301,Robbery,ROBBERY - STREET,A1,117,,2019-08-29 00:30:00,2019,8,Thursday,0,Part One,WASHINGTON ST,42.35174282,-71.0627594,"(42.35174282, -71.06275940)"
I192068071,00301,Robbery,ROBBERY - STREET,D4,285,,2019-08-27 18:32:00,2019,8,Tuesday,18,Part One,HAMMOND ST,42.3373341,-71.08396225,"(42.33733410, -71.08396225)"
I192068247,00301,Robbery,ROBBERY - STREET,B2,280,,2019-08-22 17:00:00,2019,8,Thursday,17,Part One,WARREN ST,42.32978737,-71.08324801,"(42.32978737, -71.08324801)"
I192068175,00311,Robbery,ROBBERY - COMMERCIAL,B3,427,,2019-08-28 00:05:00,2019,8,Wednesday,0,Part One,BLUE HILL AVE,42.27968299,-71.09286048,"(42.27968299, -71.09286048)"
I192068153,00311,Robbery,ROBBERY - COMMERCIAL,B3,427,,2019-08-27 23:15:00,2019,8,Tuesday,23,Part One,BLUE HILL AVE,42.27968299,-71.09286048,"(42.27968299, -71.09286048)"
I192068101,00301,Robbery,ROBBERY - STREET,D14,780,,2019-08-27 20:07:00,2019,8,Tuesday,20,Part One,N BEACON ST,42.35595678,-71.14830894,"(42.35595678, -71.14830894)"
I192068068,00301,Robbery,ROBBERY - STREET,A1,76,,2019-08-27 18:09:00,2019,8,Tuesday,18,Part One,CAUSEWAY ST,42.36571448,-71.06061587,"(42.36571448, -71.06061587)"
I192068040,00301,Robbery,ROBBERY - STREET,D4,145,,2019-08-27 17:34:00,2019,8,Tuesday,17,Part One,DURHAM ST,42.34427817,-71.08154155,"(42.34427817, -71.08154155)"
I192067798,00301,Robbery,ROBBERY - STREET,A1,101,,2019-08-27 01:20:00,2019,8,Tuesday,1,Part One,MCKINLEY SQ,42.35909289,-71.05327197,"(42.35909289, -71.05327197)"
I192067791,00361,Robbery,ROBBERY - OTHER,B3,429,,2019-08-27 00:43:00,2019,8,Tuesday,0,Part One,THEODORE ST,42.28406985,-71.0882492,"(42.28406985, -71.08824920)"
I192067745,00301,Robbery,ROBBERY - STREET,C11,352,,2019-08-26 20:00:00,2019,8,Monday,20,Part One,ADAMS ST,42.30171653,-71.05991401,"(42.30171653, -71.05991401)"
I192067490,00301,Robbery,ROBBERY - STREET,A1,123,,2019-08-26 02:30:00,2019,8,Monday,2,Part One,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)"
I192067428,00361,Robbery,ROBBERY - OTHER,E18,503,,2019-08-25 19:20:00,2019,8,Sunday,19,Part One,AMERICAN LEGION HWY,42.28322762,-71.1138614,"(42.28322762, -71.11386140)"
I192067234,00301,Robbery,ROBBERY - STREET,C11,359,,2019-08-25 05:15:00,2019,8,Sunday,5,Part One,WASHINGTON ST,42.29360585,-71.0718865,"(42.29360585, -71.07188650)"
I192067047,00301,Robbery,ROBBERY - STREET,A7,23,,2019-08-24 14:14:00,2019,8,Saturday,14,Part One,SARATOGA ST,42.37704396,-71.03518074,"(42.37704396, -71.03518074)"
I192067011,00301,Robbery,ROBBERY - STREET,B3,427,,2019-08-23 17:00:00,2019,8,Friday,17,Part One,MILDRED AVE,42.27665388,-71.09121606,"(42.27665388, -71.09121606)"
I192066951,00301,Robbery,ROBBERY - STREET,B3,444,,2019-08-24 08:55:00,2019,8,Saturday,8,Part One,VESTA RD,42.2960628,-71.08664795,"(42.29606280, -71.08664795)"
I192066911,00301,Robbery,ROBBERY - STREET,B2,901,,2019-08-24 03:00:00,2019,8,Saturday,3,Part One,PARKER ST,42.33436843,-71.0953077,"(42.33436843, -71.09530770)"
I192066908,00301,Robbery,ROBBERY - STREET,A7,29,,2019-08-24 02:50:00,2019,8,Saturday,2,Part One,MAVERICK SQ,42.36943145,-71.03917179,"(42.36943145, -71.03917179)"
I192066865,00301,Robbery,ROBBERY - STREET,C6,213,,2019-08-23 23:00:00,2019,8,Friday,23,Part One,W THIRD ST,42.33665636,-71.04538535,"(42.33665636, -71.04538535)"
I192066859,00301,Robbery,ROBBERY - STREET,C11,344,,2019-08-23 10:30:00,2019,8,Friday,10,Part One,WESTVILLE ST,42.30010597,-71.0710271,"(42.30010597, -71.07102710)"
I192066857,00301,Robbery,ROBBERY - STREET,B3,439,,2019-08-23 21:46:00,2019,8,Friday,21,Part One,STRATTON ST,42.28881222,-71.08513152,"(42.28881222, -71.08513152)"
I192066854,00311,Robbery,ROBBERY - COMMERCIAL,E18,516,,2019-08-23 22:32:00,2019,8,Friday,22,Part One,TRUMAN PKWY,42.25194322,-71.11925138,"(42.25194322, -71.11925138)"
I192066772,00301,Robbery,ROBBERY - STREET,B2,280,,2019-08-23 18:20:00,2019,8,Friday,18,Part One,DUDLEY ST,42.32863172,-71.08309899,"(42.32863172, -71.08309899)"
I192066542,00301,Robbery,ROBBERY - STREET,D14,816,,2019-08-23 01:57:00,2019,8,Friday,1,Part One,CAMBRIDGE ST,42.35766829,-71.12729676,"(42.35766829, -71.12729676)"
I192066097,00301,Robbery,ROBBERY - STREET,C11,402,,2019-08-21 16:00:00,2019,8,Wednesday,16,Part One,DORCHESTER AVE,42.28526024,-71.06444063,"(42.28526024, -71.06444063)"
I192066083,00301,Robbery,ROBBERY - STREET,A1, ,,2019-08-21 17:13:00,2019,8,Wednesday,17,Part One,TREMONT ST,,,"(0.00000000, 0.00000000)"
I192065909,00301,Robbery,ROBBERY - STREET,A1,124,,2019-08-20 23:00:00,2019,8,Tuesday,23,Part One,HARRISON AVE,42.35062199,-71.06151653,"(42.35062199, -71.06151653)"
I192065870,00301,Robbery,ROBBERY - STREET,C11,362,,2019-08-21 06:41:00,2019,8,Wednesday,6,Part One,WASHINGTON ST,42.29212974,-71.07175746,"(42.29212974, -71.07175746)"
