the_geom,cartodb_id,station,line,terminus,route
0101000020E61000004D7691E94EC751C043F30AAC7F264540,54,Forest Hills,ORANGE,Y,Forest Hills to Oak Grove
0101000020E610000041BDF371EAC651C0872F15C3AA274540,55,Green Street,ORANGE,N,Forest Hills to Oak Grove
0101000020E61000006A836D2AAFC651C0393CEBB996284540,56,Stony Brook,ORANGE,N,Forest Hills to Oak Grove
0101000020E6100000BFE82E4B65C651C06B330CB05D294540,57,Jackson Square,ORANGE,N,Forest Hills to Oak Grove
0101000020E610000089755D86BAC551C03FAD5EE0172B4540,58,Ruggles,ORANGE,N,Forest Hills to Oak Grove
0101000020E6100000DE5468B962C551C0316AE618A62B4540,59,Massachusetts Ave,ORANGE,N,Forest Hills to Oak Grove
0101000020E6100000A7B99189CEC451C0F14502D17C2C4540,60,Back Bay,ORANGE,N,Forest Hills to Oak Grove
0101000020E6100000C01DAD5D32C551C0C5972421422C4540,61,Prudential,GREEN,N,E - Health Street
0101000020E61000003970BCAA6FC551C0AEDB9042DE2B4540,62,Symphony,GREEN,N,E - Health Street
0101000020E61000001125F9DBBCC551C06E3475C7862B4540,63,Northeastern,GREEN,N,E - Health Street
0101000020E6100000CDA16E1614C651C0AF3B8621412B4540,64,Museum Of Fine Arts,GREEN,N,E - Health Street
0101000020E610000012F218355FC651C0A9A527AB062B4540,65,Longwood Medical Area,GREEN,N,E - Health Street
0101000020E610000057F4C56AA3C651C061756239D32A4540,66,Brigham Circle,GREEN,N,E - Health Street
0101000020E6100000815B9A2188C151C05B22B9FEB8314540,67,Eastern Ave,SILVER,N,SL3
0101000020E6100000ED7EF862D2C151C005788D6A72324540,68,Box District,SILVER,N,SL3
0101000020E6100000FD07F55224C251C0F8E7A28B9C324540,69,Bellingham Sq,SILVER,N,SL3
0101000020E610000058766CCC95C251C09BE2D769CA324540,70,Chelsea,SILVER,Y,SL3
0101000020E6100000FEDFCD58E8C151C07D8C4D3BE42F4540,71,Airport,SILVER,N,SL3
0101000020E6100000B6D50FE6C2C651C02578632BB82A4540,72,Fenwood Road,GREEN,N,E - Health Street
0101000020E61000008A21A67003C751C06A6C749FA52A4540,73,Mission Park,GREEN,N,E - Health Street
0101000020E610000049D920332AC751C01EE15F417E2A4540,74,Riverway,GREEN,N,E - Health Street
0101000020E6100000713C0EC71BC751C0987A1196312A4540,75,Back Of The Hill,GREEN,N,E - Health Street
0101000020E6100000BD0F1DD80EC751C0A24DAB1A062A4540,76,Heath Street,GREEN,Y,E - Health Street
