OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2012,PIE AL,42.35815134,-71.05878456
ROBBERY,2012,DEVINE WY,42.32858135,-71.05497456
ROBBERY,2012,TREMONT ST,42.33388135,-71.10399454
ROBBERY,2012,GARNER RD,42.35368135,-71.12831454
ROBBERY,2012,NORFOLK ST,42.27923636,-71.08928456
ROBBERY,2012,WATER ST,42.35812185,-71.05467994
ROBBERY,2012,CHELSEA ST,42.37515634,-71.03263458
ROBBERY,2012,SOUTH ST,42.35015634,-71.05749456
ROBBERY,2012,MONADNOCK ST,42.31799135,-71.06728957
ROBBERY,2012,SAUNDERS ST,42.3534088,-71.14208761
ROBBERY,2012,RIVER ST,42.25938275,-71.11729354
ROBBERY,2012,CENTRE ST,42.29383635,-71.06124956
ROBBERY,2012,DUNLAP ST,42.29278579,-71.07330446
ROBBERY,2012,TRUMAN PY,42.25196296,-71.11916996
ROBBERY,2012,BOWDOIN ST,42.30701635,-71.06616956
ROBBERY,2012,FAYWOOD AV,42.39214002,-71.00887398
ROBBERY,2012,SHARP ST,42.29259136,-71.06700957
ROBBERY,2012,ORLANDO ST,42.27479636,-71.09883957
ROBBERY,2012,BLUE HILL AV,42.30397135,-71.08486956
ROBBERY,2012,TREMONT ST,42.33940135,-71.08011956
ROBBERY,2012,NEWBURY ST,42.35226635,-71.07250956
ROBBERY,2012,WASHINGTON ST,42.35823137,-71.05792977
ROBBERY,2012,TREMONT ST,42.35634134,-71.06208456
ROBBERY,2012,DORCHESTER AV,42.31659138,-71.05668715
ROBBERY,2012,COMMONWEALTH AV,42.35048135,-71.13105954
ROBBERY,2012,HARVARD ST,42.29714635,-71.07667956
ROBBERY,2012,BOYLSTON ST,42.35237134,-71.06490456
ROBBERY,2012,COLUMBIA RD,42.30984135,-71.07284956
ROBBERY,2012,AUCKLAND ST,42.31046635,-71.05676457
ROBBERY,2012,DARTMOUTH ST,42.34583135,-71.07525956
ROBBERY,2012,COLUMBIA RD,42.3061281,-71.07799887
ROBBERY,2012,DITSON ST,42.30150635,-71.06417956
ROBBERY,2012,GLENVILLE AV,42.35089635,-71.13198454
ROBBERY,2012,HIGHGATE ST,42.35508867,-71.13173567
ROBBERY,2012,SHAWMUT AV,42.33566135,-71.08045956
ROBBERY,2012,HUDSON ST,42.35071134,-71.06006956
ROBBERY,2012,COLUMBIA RD,42.32000733,-71.0591838
ROBBERY,2012,MASSACHUSETTS AV,42.3399307,-71.08097569
ROBBERY,2012,NORFOLK ST,42.27783136,-71.09097956
ROBBERY,2012,HOWARD AV,42.31943135,-71.07237956
ROBBERY,2012,JAMAICA ST,42.30546363,-71.11627905
